country,element_code,element,item_code_cpc,item,year_code,year,unit,value
Afghanistan,5312,Area harvested,01371,"Almonds, in shell",2022,2022,ha,36462
Afghanistan,5412,Yield,01371,"Almonds, in shell",2022,2022,kg/ha,1742
Afghanistan,5510,Production,01371,"Almonds, in shell",2022,2022,t,63515
Afghanistan,5312,Area harvested,01371,"Almonds, in shell",2023,2023,ha,37000
Afghanistan,5412,Yield,01371,"Almonds, in shell",2023,2023,kg/ha,1810.8
Afghanistan,5510,Production,01371,"Almonds, in shell",2023,2023,t,67000
Afghanistan,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,ha,25403
Afghanistan,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,kg/ha,704
Afghanistan,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,t,17883.38
Afghanistan,5312,Area harvested,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,ha,25439
Afghanistan,5412,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,kg/ha,704
Afghanistan,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,t,17908.59
Afghanistan,5312,Area harvested,01341,Apples,2022,2022,ha,30163
Afghanistan,5412,Yield,01341,Apples,2022,2022,kg/ha,10556
Afghanistan,5510,Production,01341,Apples,2022,2022,t,318402
Afghanistan,5312,Area harvested,01341,Apples,2023,2023,ha,31000
Afghanistan,5412,Yield,01341,Apples,2023,2023,kg/ha,10451.6
Afghanistan,5510,Production,01341,Apples,2023,2023,t,324000
Afghanistan,5312,Area harvested,01343,Apricots,2022,2022,ha,26731
Afghanistan,5412,Yield,01343,Apricots,2022,2022,kg/ha,6378.7
Afghanistan,5510,Production,01343,Apricots,2022,2022,t,170508
Afghanistan,5312,Area harvested,01343,Apricots,2023,2023,ha,22008
Afghanistan,5412,Yield,01343,Apricots,2023,2023,kg/ha,7062.4
Afghanistan,5510,Production,01343,Apricots,2023,2023,t,155429.38
Afghanistan,5312,Area harvested,0115,Barley,2022,2022,ha,61952
Afghanistan,5412,Yield,0115,Barley,2022,2022,kg/ha,1528.4
Afghanistan,5510,Production,0115,Barley,2022,2022,t,94687
Afghanistan,5312,Area harvested,0115,Barley,2023,2023,ha,80000
Afghanistan,5412,Yield,0115,Barley,2023,2023,kg/ha,1375
Afghanistan,5510,Production,0115,Barley,2023,2023,t,110000
Afghanistan,5312,Area harvested,01229,Cantaloupes and other melons,2022,2022,ha,70902
Afghanistan,5412,Yield,01229,Cantaloupes and other melons,2022,2022,kg/ha,10754.8
Afghanistan,5510,Production,01229,Cantaloupes and other melons,2022,2022,t,762542.69
Afghanistan,5312,Area harvested,01229,Cantaloupes and other melons,2023,2023,ha,73628
Afghanistan,5412,Yield,01229,Cantaloupes and other melons,2023,2023,kg/ha,10798.9
Afghanistan,5510,Production,01229,Cantaloupes and other melons,2023,2023,t,795100.45
Afghanistan,5510,Production,01921.02,"Cotton lint, ginned",2022,2022,t,23950
Afghanistan,5510,Production,0143,Cotton seed,2022,2022,t,47785.09
Afghanistan,5510,Production,2168,Cottonseed oil,2022,2022,t,8290.89
Afghanistan,5312,Area harvested,01315,Figs,2022,2022,ha,9787
Afghanistan,5412,Yield,01315,Figs,2022,2022,kg/ha,5929.9
Afghanistan,5510,Production,01315,Figs,2022,2022,t,58035.99
Afghanistan,5312,Area harvested,01315,Figs,2023,2023,ha,10228
Afghanistan,5412,Yield,01315,Figs,2023,2023,kg/ha,5929.9
Afghanistan,5510,Production,01315,Figs,2023,2023,t,60651.09
Afghanistan,5312,Area harvested,01330,Grapes,2022,2022,ha,92600
Afghanistan,5412,Yield,01330,Grapes,2022,2022,kg/ha,9825
Afghanistan,5510,Production,01330,Grapes,2022,2022,t,909792
Afghanistan,5312,Area harvested,01330,Grapes,2023,2023,ha,93000
Afghanistan,5412,Yield,01330,Grapes,2023,2023,kg/ha,11677.4
Afghanistan,5510,Production,01330,Grapes,2023,2023,t,1086000
Afghanistan,5312,Area harvested,01441,Linseed,2022,2022,ha,31605
Afghanistan,5412,Yield,01441,Linseed,2022,2022,kg/ha,904.3
Afghanistan,5510,Production,01441,Linseed,2022,2022,t,28579
Afghanistan,5312,Area harvested,01441,Linseed,2023,2023,ha,35000
Afghanistan,5412,Yield,01441,Linseed,2023,2023,kg/ha,828.6
Afghanistan,5510,Production,01441,Linseed,2023,2023,t,29000
Afghanistan,5312,Area harvested,0112,Maize (corn),2022,2022,ha,139000
Afghanistan,5412,Yield,0112,Maize (corn),2022,2022,kg/ha,2237.4
Afghanistan,5510,Production,0112,Maize (corn),2022,2022,t,311000
Afghanistan,5312,Area harvested,0112,Maize (corn),2023,2023,ha,127000
Afghanistan,5412,Yield,0112,Maize (corn),2023,2023,kg/ha,2858.3
